index,material_no,name,category,glass_t1_mm,glass_cavity_mm,glass_t2_mm,spectrum_ok,R_125_Hz,R_250_Hz,R_500_Hz,R_1000_Hz,R_2000_Hz,R_4000_Hz
2334,2455,"dubbele dichting, indrukking 3.5 mm [3]",,,,,True,41.0,45.0,46.0,44.0,48.0,0.0
2335,2456,alleen naad [3],,,,,True,35.0,40.0,45.0,50.0,60.0,0.0
2336,2457,band+lat [3],,,,,True,37.0,48.0,56.0,60.0,65.0,0.0
2337,2458,eenzijdig gekit [3],,,,,True,45.0,50.0,60.0,60.0,65.0,0.0
2338,2459,"lat, tweezijdig gekit [3]",,,,,True,50.0,55.0,65.0,65.0,70.0,0.0
2339,2460,kroonband: los [3],,,,,True,29.0,34.0,35.0,31.0,30.0,0.0
2340,2461,alleen lat [3],,,,,True,35.0,40.0,45.0,50.0,60.0,0.0
2341,2462,lipprofiel bij kunststof hoek slecht (A) [3],,,,,True,34.0,41.0,46.0,54.0,60.0,0.0
2342,2463,lipprofiel bij kunststof hoek slecht (B) [3],,,,,True,36.0,41.0,44.0,53.0,61.0,0.0
2343,2464,kroonband 0 N/m [3],,,,,True,32.0,50.0,57.0,60.0,65.0,0.0
2344,2465,lipprofiel in houten raam [3],,,,,True,38.0,45.0,59.0,51.0,55.0,0.0
2345,2466,kroonband+plakband top [3],,,,,True,36.0,50.0,59.0,60.0,60.0,0.0
2346,2467,kroonband 200 N/m [3],,,,,True,37.0,48.0,56.0,60.0,65.0,0.0
2347,2468,3 mm schuimband bij neusdorpel [3],,,,,True,45.0,44.0,52.0,50.0,53.0,0.0
2348,2469,kroonband 600 N/m [3],,,,,True,37.0,49.0,58.0,60.0,65.0,0.0
2349,2470,kroonband met neusdorpel [3],,,,,True,40.0,45.0,55.0,57.0,60.0,0.0
2350,2471,3 mm schuimband+topafdichting+neusdorpel [3],,,,,True,45.0,45.0,53.0,52.0,55.0,0.0
2351,2472,kroonband [3],,,,,True,40.0,47.0,54.0,56.0,62.0,0.0
2352,2473,lipprofiel in kunststofraam [3],,,,,True,43.0,50.0,52.0,60.0,65.0,0.0
2353,2474,5 mm schuimband+neusdorpel [3],,,,,True,41.0,50.0,60.0,60.0,64.0,0.0
2354,2475,schuimband met thiokoltop [3],,,,,True,45.0,50.0,57.0,60.0,65.0,0.0
2355,2476,5 mm schuimband+thiokoltop+neusdorpel [3],,,,,True,45.0,49.0,60.0,59.0,62.0,0.0
2356,2477,lippprofiel in kunststofraam [3],,,,,True,45.0,50.0,57.0,60.0,65.0,0.0
2357,2478,3 mm schuimband met stoeldorpel [3],,,,,True,45.0,53.0,57.0,60.0,65.0,0.0
2358,2479,vol en zat [3],,,,,True,50.0,58.0,62.0,65.0,70.0,0.0
2359,2480,kozijn steen: alleen afdeklat [3],,,,,True,36.0,41.0,46.0,51.0,58.0,0.0
2360,2481,kozijn-steen: schuimband+afdeklat [3],,,,,True,41.0,46.0,51.0,56.0,63.0,0.0
2361,2482,kozijn-steen: tweezijdig gekit + afdeklat [3],,,,,True,46.0,51.0,56.0,61.0,68.0,0.0
2362,2483,dakraam-beschot: geen extra dichting [3],,,,,True,19.0,22.0,25.0,26.0,27.0,0.0
2363,2484,dakraam-beschot: band- of kitdichting [3],,,,,True,29.0,32.0,35.0,36.0,37.0,0.0
2364,2485,suskast-kozijn/raam: kit (droge beglazing) [3],,,,,True,46.0,49.0,52.0,53.0,48.0,0.0
